"@song-title","@song-title-eng","@genre-name","@normal-level","@normal-constant","@normal-included-newer","@hard-level","@hard-constant","@hard-included-newer","@expert-level","@expert-constant","@expert-included-newer","@inferno-level","@inferno-constant","@inferno-included-newer"
"Photon Melodies","","ANIME/POP","NORMAL 3",3.0,false,"HARD 7+",7.7,false,"EXPERT 11",11.5,false,"INFERNO 0",0.0,
"ぐるぐるDJ TURN!!","Guru-guru DJ TURN!!","ANIME/POP","NORMAL 4",4.0,false,"HARD 10",10.1,false,"EXPERT 12+",12.8,false,"INFERNO 0",0.0,
"sister's noise","","ANIME/POP","NORMAL 2",2.0,false,"HARD 6",6.0,false,"EXPERT 10",10.1,false,"INFERNO 0",0.0,
"なだめスかし Negotiation","Nadame Sukashi Negotiation","ANIME/POP","NORMAL 3",3.0,false,"HARD 7+",7.7,false,"EXPERT 11+",11.9,false,"INFERNO 0",0.0,
"サクリファイス","Sacrifice","ANIME/POP","NORMAL 3",3.0,false,"HARD 9",9.1,false,"EXPERT 12",12.2,false,"INFERNO 0",0.0,
"非実在系女子たちはどうすりゃいいですか？","Hi Jitsuzaikei Joshi Tachi wa Dousurya Iidesuka?","ANIME/POP","NORMAL 3",3.0,false,"HARD 8",8.5,false,"EXPERT 12",12.6,false,"INFERNO 0",0.0,
"ぺこみこ大戦争！！","Peko Miko Daisensou!!","ANIME/POP","NORMAL 4",4.0,false,"HARD 8",8.4,false,"EXPERT 11",11.2,false,"INFERNO 13",13.2,false
"Say!ファンファーレ!","Say! Fanfare!","ANIME/POP","NORMAL 3",3.0,false,"HARD 8",8.6,false,"EXPERT 12",12.5,false,"INFERNO 0",0.0,
"NEXT COLOR PLANET","","ANIME/POP","NORMAL 2",2.0,false,"HARD 7",7.5,false,"EXPERT 12",12.6,false,"INFERNO 0",0.0,
"夢見る空へ","Yumemiru sora e","ANIME/POP","NORMAL 2",2.0,false,"HARD 7+",7.7,false,"EXPERT 11",11.3,false,"INFERNO 0",0.0,
"お願いマッスル","Onegai Muscle","ANIME/POP","NORMAL 1",1.0,false,"HARD 7+",7.7,false,"EXPERT 10+",10.7,false,"INFERNO 0",0.0,
"マッチョアネーム？","Macho a Name?","ANIME/POP","NORMAL 2",2.0,false,"HARD 6",6.6,false,"EXPERT 12+",12.7,false,"INFERNO 0",0.0,
"HELLO to DREAM","","ANIME/POP","NORMAL 1",1.0,false,"HARD 6",6.5,false,"EXPERT 9+",9.7,false,"INFERNO 0",0.0,
"over and over","","ANIME/POP","NORMAL 2",2.0,false,"HARD 7",7.5,false,"EXPERT 10",10.4,false,"INFERNO 0",0.0,
"トロピカッ☆バケーション","Tropica' Vacation","ANIME/POP","NORMAL 2",2.0,false,"HARD 7",7.5,false,"EXPERT 10+",10.7,false,"INFERNO 0",0.0,
"秒針を噛む","Byoushin wo Kamu","ANIME/POP","NORMAL 2",2.0,false,"HARD 6+",6.8,false,"EXPERT 11",11.0,false,"INFERNO 0",0.0,
"ないものねだり","Naimono-nedari","ANIME/POP","NORMAL 2",2.0,false,"HARD 7+",7.7,false,"EXPERT 11",11.1,false,"INFERNO 0",0.0,
"HOT LIMIT","","ANIME/POP","NORMAL 3",3.0,false,"HARD 7+",7.9,false,"EXPERT 10",10.0,false,"INFERNO 0",0.0,
"キラメキライダー☆","Kirameki Rider","ANIME/POP","NORMAL 2",2.0,false,"HARD 7",7.0,false,"EXPERT 11",11.5,false,"INFERNO 0",0.0,
"ガヴリールドロップキック","Gabriel Drop Kick","ANIME/POP","NORMAL 3",3.0,false,"HARD 6+",6.9,false,"EXPERT 11",11.0,false,"INFERNO 0",0.0,
"This game","","ANIME/POP","NORMAL 2",2.0,false,"HARD 7",7.6,false,"EXPERT 10+",10.7,false,"INFERNO 0",0.0,
"RAGE OF DUST","","ANIME/POP","NORMAL 3",3.0,false,"HARD 8",8.4,false,"EXPERT 9",9.6,false,"INFERNO 0",0.0,
"Make it！","","ANIME/POP","NORMAL 1",1.0,false,"HARD 5",5.1,false,"EXPERT 9",9.4,false,"INFERNO 0",0.0,
"Make it！ (DJ Genki Remix)","","ANIME/POP","NORMAL 3",3.0,false,"HARD 7+",7.8,false,"EXPERT 11",11.6,false,"INFERNO 0",0.0,
"キラッとスタート","Kira-tto Start","ANIME/POP","NORMAL 2",2.0,false,"HARD 7",7.4,false,"EXPERT 10",10.2,false,"INFERNO 0",0.0,
"キラッとスタート (USAO Remix)","Kira-tto Start (USAO Remix)","ANIME/POP","NORMAL 4",4.0,false,"HARD 8",8.2,false,"EXPERT 12",12.5,false,"INFERNO 0",0.0,
"ハート♥イロ♥トリドリ〜ム","Heart Iro Tori Dream","ANIME/POP","NORMAL 1",1.0,false,"HARD 6",6.0,false,"EXPERT 10",10.1,false,"INFERNO 0",0.0,
"ダダダダ天使","Da Da Da Da-tenshi","ANIME/POP","NORMAL 3",3.0,false,"HARD 7+",7.8,false,"EXPERT 12",12.0,false,"INFERNO 0",0.0,
"青空のラプソディ","Aozora no Rhapsody","ANIME/POP","NORMAL 2",2.0,false,"HARD 6+",6.8,false,"EXPERT 9",9.3,false,"INFERNO 11",11.0,true
"Bravely You","","ANIME/POP","NORMAL 1",1.0,false,"HARD 6",6.5,false,"EXPERT 9",9.5,false,"INFERNO 0",0.0,
"ぼなぺてぃーと♡S","Bon Appetit S","ANIME/POP","NORMAL 2",2.0,false,"HARD 7+",7.7,false,"EXPERT 11",11.5,false,"INFERNO 0",0.0,
"デタラメなマイナスとプラスにおけるブレンド考","DETARAME NA minus TO plus NI OKERU blend KO","ANIME/POP","NORMAL 2",2.0,false,"HARD 5+",5.7,false,"EXPERT 10",10.0,false,"INFERNO 0",0.0,
"輪廻転生","Rinne-tensho","ANIME/POP","NORMAL 3",3.0,false,"HARD 9",9.2,false,"EXPERT 12",12.3,false,"INFERNO 0",0.0,
"ストライク・ザ・ブラッド","Strike the blood","ANIME/POP","NORMAL 3",3.0,false,"HARD 8+",8.7,false,"EXPERT 11+",11.7,false,"INFERNO 0",0.0,
"新宝島","Shin Takarajima","ANIME/POP","NORMAL 1",1.0,false,"HARD 6",6.3,false,"EXPERT 9",9.4,false,"INFERNO 0",0.0,
"U.S.A.","","ANIME/POP","NORMAL 2",2.0,false,"HARD 7",7.1,false,"EXPERT 10",10.2,false,"INFERNO 0",0.0,
"Shiny Smily Story","","ANIME/POP","NORMAL 3",3.0,false,"HARD 6",6.5,false,"EXPERT 10",10.4,false,"INFERNO 0",0.0,
"Dream☆Story","","ANIME/POP","NORMAL 2",2.0,false,"HARD 7",7.5,false,"EXPERT 11",11.2,false,"INFERNO 0",0.0,
"without U","","ANIME/POP","NORMAL 3",3.0,false,"HARD 7",7.2,false,"EXPERT 10",10.2,false,"INFERNO 0",0.0,
"シャルル","Charles","ANIME/POP","NORMAL 3",3.0,false,"HARD 7",7.1,false,"EXPERT 10",10.3,false,"INFERNO 0",0.0,
"ドラマツルギー","Dramaturgy","ANIME/POP","NORMAL 2",2.0,false,"HARD 7",7.4,false,"EXPERT 10",10.1,false,"INFERNO 0",0.0,
"オドループ","OddLoop","ANIME/POP","NORMAL 3",3.0,false,"HARD 7+",7.9,false,"EXPERT 10",10.4,false,"INFERNO 0",0.0,
"only my railgun","","ANIME/POP","NORMAL 3",3.0,false,"HARD 6+",6.7,false,"EXPERT 9",9.5,false,"INFERNO 0",0.0,
"You Only Live Once","","ANIME/POP","NORMAL 1",1.0,false,"HARD 5",5.4,false,"EXPERT 9",9.1,false,"INFERNO 0",0.0,
"残酷な天使のテーゼ","Zankoku na Tenshi no Thesis","ANIME/POP","NORMAL 1",1.0,false,"HARD 5",5.3,false,"EXPERT 9",9.3,false,"INFERNO 0",0.0,
"ただ君に晴れ","Tada Kimi ni Hare","ANIME/POP","NORMAL 3",3.0,false,"HARD 7",7.0,false,"EXPERT 9",9.6,false,"INFERNO 0",0.0,
"The Light","","ANIME/POP","NORMAL 3",3.0,false,"HARD 7+",7.8,false,"EXPERT 12",12.1,false,"INFERNO 0",0.0,
"AIAIAI (feat. 中田ヤスタカ)","AIAIAI (feat. Nakata Yasutaka)","ANIME/POP","NORMAL 1",1.0,false,"HARD 6",6.4,false,"EXPERT 9",9.4,false,"INFERNO 0",0.0,
"Hello, Morning","","ANIME/POP","NORMAL 2",2.0,false,"HARD 7",7.1,false,"EXPERT 11",11.2,false,"INFERNO 0",0.0,
"Raise Your Heart!!","","ANIME/POP","NORMAL 3",3.0,false,"HARD 7",7.4,false,"EXPERT 10",10.6,false,"INFERNO 0",0.0,
"SHINY DAYS","","ANIME/POP","NORMAL 1",1.0,false,"HARD 5",5.2,false,"EXPERT 9",9.0,false,"INFERNO 0",0.0,
"EXCITE","","ANIME/POP","NORMAL 1",1.0,false,"HARD 6",6.5,false,"EXPERT 10",10.0,false,"INFERNO 0",0.0,
"ファティマ","Fatima","ANIME/POP","NORMAL 2",2.0,false,"HARD 6+",6.8,false,"EXPERT 9",9.5,false,"INFERNO 0",0.0,
"回レ！雪月花","Maware! Setsugetsuka","ANIME/POP","NORMAL 2",2.0,false,"HARD 8",8.0,false,"EXPERT 11",11.0,false,"INFERNO 13+",13.8,true
"ピースサイン","Peace Sign","ANIME/POP","NORMAL 2",2.0,false,"HARD 6+",6.9,false,"EXPERT 9+",9.8,false,"INFERNO 0",0.0,
"徒花ネクロマンシー","Adabana Necromancy","ANIME/POP","NORMAL 3",3.0,false,"HARD 6+",6.9,false,"EXPERT 9+",9.7,false,"INFERNO 0",0.0,
"ようこそジャパリパークへ","Youkoso Japari-Park e","ANIME/POP","NORMAL 2",2.0,false,"HARD 7",7.6,false,"EXPERT 10+",10.7,false,"INFERNO 0",0.0,
"POP TEAM EPIC","","ANIME/POP","NORMAL 3",3.0,false,"HARD 7+",7.8,false,"EXPERT 11",11.4,false,"INFERNO 0",0.0,
"ファッとして桃源郷","Fatto-shite Tougenkyou","ANIME/POP","NORMAL 3",3.0,false,"HARD 9",9.3,false,"EXPERT 12",12.0,false,"INFERNO 0",0.0,
"Nameless Story","","ANIME/POP","NORMAL 3",3.0,false,"HARD 7",7.5,false,"EXPERT 10",10.3,false,"INFERNO 0",0.0,
"TOMORROW","","ANIME/POP","NORMAL 3",3.0,false,"HARD 8",8.0,false,"EXPERT 10",10.4,false,"INFERNO 0",0.0,
"五等分の気持ち","Gotoubun no Kimochi","ANIME/POP","NORMAL 2",2.0,false,"HARD 6",6.1,false,"EXPERT 9+",9.9,false,"INFERNO 0",0.0,
"ギミチョコ!!","Gimme Choco!!","ANIME/POP","NORMAL 4",4.0,false,"HARD 10",10.3,false,"EXPERT 12+",12.9,false,"INFERNO 0",0.0,
"ウマーベラス","U-marvelous","ANIME/POP","NORMAL 1",1.0,false,"HARD 6+",6.8,false,"EXPERT 9+",9.8,false,"INFERNO 0",0.0,
"メルト","Melt","VOCALOID","NORMAL 3",3.0,true,"HARD 8+",8.7,true,"EXPERT 12",12.6,true,"INFERNO 0",0.0,
"天樂","Tengaku","VOCALOID","NORMAL 3",3.0,true,"HARD 8",8.6,true,"EXPERT 12+",12.7,true,"INFERNO 0",0.0,
"吉原ラメント","Yoshiwara Lament","VOCALOID","NORMAL 3",3.0,true,"HARD 8",8.3,true,"EXPERT 12",12.4,true,"INFERNO 0",0.0,
"ワールズエンド・ダンスホール","World's End Dancehall","VOCALOID","NORMAL 3",3.0,true,"HARD 8",8.6,true,"EXPERT 12",12.5,true,"INFERNO 0",0.0,
"炉心融解","Roshin Yuukai","VOCALOID","NORMAL 2",2.0,true,"HARD 8",8.6,true,"EXPERT 12",12.2,true,"INFERNO 0",0.0,
"∞(2018Remake)","Infinity (2018Remake)","VOCALOID","NORMAL 3",3.0,true,"HARD 8+",8.7,true,"EXPERT 13+",13.8,true,"INFERNO 0",0.0,
"ちがう!!!","Chigau!!!","VOCALOID","NORMAL 4",4.0,true,"HARD 9+",9.7,true,"EXPERT 12",12.4,true,"INFERNO 0",0.0,
"おねがいダーリン","Onegai Darling","VOCALOID","NORMAL 4",4.0,true,"HARD 9",9.3,true,"EXPERT 11",11.6,true,"INFERNO 0",0.0,
"怪盗Fの台本（シナリオ）〜消えたダイヤの謎〜","Kaitou F no Daihon(Scenario) -Kieta Diamond no Nazo-","VOCALOID","NORMAL 3",3.0,true,"HARD 9",9.1,true,"EXPERT 13+",13.7,true,"INFERNO 0",0.0,
"KING","","VOCALOID","NORMAL 2",2.0,true,"HARD 8",8.0,true,"EXPERT 11",11.6,true,"INFERNO 0",0.0,
"ダーリンダンス","Darling Dance","VOCALOID","NORMAL 2",2.0,true,"HARD 8+",8.7,true,"EXPERT 12+",12.8,true,"INFERNO 0",0.0,
"トリノコシティ","Torinoko City","VOCALOID","NORMAL 3",3.0,true,"HARD 7+",7.7,true,"EXPERT 12",12.2,true,"INFERNO 0",0.0,
"サマータイムレコード","Summer-time Record","VOCALOID","NORMAL 3",3.0,true,"HARD 7+",7.8,true,"EXPERT 11+",11.9,true,"INFERNO 0",0.0,
"テレキャスタービーボーイ","Telecaster B-Boy","VOCALOID","NORMAL 3",3.0,false,"HARD 8+",8.9,false,"EXPERT 11+",11.9,false,"INFERNO 0",0.0,
"フィクサー","Fixer","VOCALOID","NORMAL 3",3.0,false,"HARD 7",7.3,false,"EXPERT 12+",12.9,false,"INFERNO 0",0.0,
"バレリーコ","Barerii-ko","VOCALOID","NORMAL 3",3.0,false,"HARD 8",8.2,false,"EXPERT 11",11.6,false,"INFERNO 0",0.0,
"だれかの心臓になれたなら","Dareka no Shinzou ni Nareta Nara","VOCALOID","NORMAL 3",3.0,false,"HARD 7+",7.8,false,"EXPERT 12",12.1,false,"INFERNO 0",0.0,
"六兆年と一夜物語","Rokucho-nen to ichiya monogatari","VOCALOID","NORMAL 4",4.0,false,"HARD 8+",8.9,false,"EXPERT 12",12.5,false,"INFERNO 0",0.0,
"ワールドイズマイン","World is Mine","VOCALOID","NORMAL 3",3.0,false,"HARD 8",8.3,false,"EXPERT 11",11.6,false,"INFERNO 0",0.0,
"進捗どうですか！","Shinchoku Doudesu-ka!","VOCALOID","NORMAL 3",3.0,false,"HARD 7",7.3,false,"EXPERT 12+",12.8,false,"INFERNO 0",0.0,
"ぼくらの16bit戦争","Bokurano 16bit Sensou","VOCALOID","NORMAL 4",4.0,false,"HARD 9",9.1,false,"EXPERT 13",13.4,false,"INFERNO 0",0.0,
"隔絶≡タナトス","Kakuzetsu Thanatos","VOCALOID","NORMAL 4",4.0,false,"HARD 8",8.5,false,"EXPERT 13",13.5,false,"INFERNO 0",0.0,
"アスノヨゾラ哨戒班","Asu no Yozora Shokaihan","VOCALOID","NORMAL 3",3.0,false,"HARD 7",7.6,false,"EXPERT 11+",11.9,false,"INFERNO 0",0.0,
"ヒビカセ","Hibikase","VOCALOID","NORMAL 3",3.0,false,"HARD 8",8.4,false,"EXPERT 12",12.3,false,"INFERNO 0",0.0,
"脳漿炸裂ガール","Noushou Sakuretsu Girl","VOCALOID","NORMAL 5",5.0,false,"HARD 9",9.5,false,"EXPERT 13",13.5,false,"INFERNO 0",0.0,
"ポジティブ☆ダンスタイム","Positive Dance-Time","VOCALOID","NORMAL 3",3.0,false,"HARD 8+",8.9,false,"EXPERT 11",11.6,false,"INFERNO 0",0.0,
"Gimme×Gimme feat. 初音ミク・鏡音リン","Gimme-Gimme feat. Hatsune Miku & Kagamine Rin","VOCALOID","NORMAL 2",2.0,false,"HARD 8",8.1,false,"EXPERT 12",12.0,false,"INFERNO 0",0.0,
"39みゅーじっく！","39 music!","VOCALOID","NORMAL 2",2.0,false,"HARD 7",7.4,false,"EXPERT 10+",10.9,false,"INFERNO 0",0.0,
"ブリキノダンス","Buriki no Dance","VOCALOID","NORMAL 3",3.0,false,"HARD 7+",7.9,false,"EXPERT 12",12.3,false,"INFERNO 0",0.0,
"チュルリラ・チュルリラ・ダッダッダ！","Chururira Chururira Da-da-da!","VOCALOID","NORMAL 4",4.0,false,"HARD 8",8.3,false,"EXPERT 12",12.4,false,"INFERNO 0",0.0,
"おばけのウケねらい","Obake no Uke-nerai","VOCALOID","NORMAL 3",3.0,false,"HARD 8",8.0,false,"EXPERT 11+",11.7,false,"INFERNO 0",0.0,
"ベノム","Venom","VOCALOID","NORMAL 3",3.0,false,"HARD 7",7.5,false,"EXPERT 12",12.1,false,"INFERNO 0",0.0,
"リアル初音ミクの消失","Real Hatsune Miku no Shoushitsu","VOCALOID","NORMAL 6",6.0,false,"HARD 10",10.2,false,"EXPERT 13+",13.7,false,"INFERNO 0",0.0,
"セツナトリップ","Setsuna Trip","VOCALOID","NORMAL 3",3.0,false,"HARD 9",9.0,false,"EXPERT 12",12.1,false,"INFERNO 0",0.0,
"カゲロウデイズ","Kagerou Daze","VOCALOID","NORMAL 4",4.0,false,"HARD 9",9.5,false,"EXPERT 11",11.3,false,"INFERNO 0",0.0,
"天ノ弱","Amanojaku","VOCALOID","NORMAL 3",3.0,false,"HARD 7",7.3,false,"EXPERT 10",10.1,false,"INFERNO 0",0.0,
"ゴーストルール","Ghost Rule","VOCALOID","NORMAL 3",3.0,false,"HARD 9",9.0,false,"EXPERT 11",11.6,false,"INFERNO 0",0.0,
"ロストワンの号哭","Lost One no Goukoku","VOCALOID","NORMAL 4",4.0,false,"HARD 8",8.3,false,"EXPERT 12",12.2,false,"INFERNO 0",0.0,
"いーあるふぁんくらぶ","Yi Er Fanclub","VOCALOID","NORMAL 2",2.0,false,"HARD 6",6.5,false,"EXPERT 10",10.0,false,"INFERNO 0",0.0,
"初音ミクの消失","Hatsune Miku no Shoshitsu","VOCALOID","NORMAL 5",5.0,false,"HARD 10",10.6,false,"EXPERT 13+",13.8,false,"INFERNO 0",0.0,
"劣等上等","Rettou Joutou","VOCALOID","NORMAL 3",3.0,false,"HARD 8",8.0,false,"EXPERT 11+",11.9,false,"INFERNO 0",0.0,
"アカリがやってきたぞっ","Akari ga Yatte Kita-zo!","VOCALOID","NORMAL 3",3.0,false,"HARD 8",8.5,false,"EXPERT 11",11.2,false,"INFERNO 0",0.0,
"太陽系デスコ","Taiyou-kei Disco","VOCALOID","NORMAL 2",2.0,false,"HARD 7",7.4,false,"EXPERT 10+",10.7,false,"INFERNO 0",0.0,
"気まぐれメルシィ feat. 初音ミク","Kimagure Mercy","VOCALOID","NORMAL 3",3.0,false,"HARD 7",7.4,false,"EXPERT 10",10.5,false,"INFERNO 0",0.0,
"幸せになれる隠しコマンドがあるらしい","Shiawase ni Nareru Kakushi Command ga Aru Rashii","VOCALOID","NORMAL 5",5.0,false,"HARD 10",10.5,false,"EXPERT 13",13.3,false,"INFERNO 0",0.0,
"千本桜","Senbon-zakura","VOCALOID","NORMAL 2",2.0,false,"HARD 7+",7.9,false,"EXPERT 10",10.4,false,"INFERNO 0",0.0,
"エイリアンエイリアン","Alien Alien","VOCALOID","NORMAL 2",2.0,false,"HARD 6+",6.7,false,"EXPERT 10",10.5,false,"INFERNO 0",0.0,
"砂の惑星 feat. 初音ミク","Suna no Wakusei feat. Hatsune Miku","VOCALOID","NORMAL 3",3.0,false,"HARD 8+",8.7,false,"EXPERT 10",10.5,false,"INFERNO 0",0.0,
"マトリョシカ","Matryoshka","VOCALOID","NORMAL 3",3.0,false,"HARD 8",8.2,false,"EXPERT 10",10.4,false,"INFERNO 0",0.0,
"Seyana. ～何でも言うことを聞いてくれるアカネチャン～","Seyana. - Nandemo Iukoto wo Kiite Kureru Akane-chan -","VOCALOID","NORMAL 2",2.0,false,"HARD 9",9.3,false,"EXPERT 11+",11.7,false,"INFERNO 0",0.0,
"フラジール","Fragile","VOCALOID","NORMAL 1",1.0,false,"HARD 7",7.0,false,"EXPERT 10",10.3,false,"INFERNO 0",0.0,
"ロキ","Roki","VOCALOID","NORMAL 4",4.0,false,"HARD 9",9.4,false,"EXPERT 11",11.6,false,"INFERNO 0",0.0,
"ウミユリ海底譚","Umiyuri Kaitei-tan","VOCALOID","NORMAL 1",1.0,false,"HARD 7",7.1,false,"EXPERT 10",10.2,false,"INFERNO 0",0.0,
"スクランブル交際","Scramble Kousai","VOCALOID","NORMAL 3",3.0,false,"HARD 8",8.4,false,"EXPERT 11",11.0,false,"INFERNO 0",0.0,
"乙女解剖","Otome Kaibou","VOCALOID","NORMAL 3",3.0,false,"HARD 7",7.3,false,"EXPERT 9",9.2,false,"INFERNO 0",0.0,
"Grip & Break down !!","","TOUHOU ARRANGE","NORMAL 3",3.0,true,"HARD 8",8.5,true,"EXPERT 12",12.0,true,"INFERNO 0",0.0,
"CENSORED!!","","TOUHOU ARRANGE","NORMAL 4",4.0,true,"HARD 8+",8.7,true,"EXPERT 13",13.4,true,"INFERNO 0",0.0,
"Crime Wave","","TOUHOU ARRANGE","NORMAL 3",3.0,true,"HARD 8",8.1,true,"EXPERT 12+",12.7,true,"INFERNO 0",0.0,
"チルノは覚醒サマーデイズ！","Cirno wa Kakusei Summer Days!","TOUHOU ARRANGE","NORMAL 3",3.0,false,"HARD 8",8.6,false,"EXPERT 12",12.3,false,"INFERNO 0",0.0,
"エピクロスの虹はもう見えない","Epikouros no Niji wa Mou Mienai","TOUHOU ARRANGE","NORMAL 3",3.0,false,"HARD 8",8.4,false,"EXPERT 11",11.3,false,"INFERNO 0",0.0,
"ARROW RAIN feat.ayame","","TOUHOU ARRANGE","NORMAL 5",5.0,false,"HARD 9",9.2,false,"EXPERT 12",12.6,false,"INFERNO 0",0.0,
"四次元跳躍機関","Yo-jigen Chouyaku Kikan","TOUHOU ARRANGE","NORMAL 2",2.0,false,"HARD 9",9.1,false,"EXPERT 12+",12.7,false,"INFERNO 0",0.0,
"Destructive Little Sister","","TOUHOU ARRANGE","NORMAL 5",5.0,false,"HARD 10+",10.9,false,"EXPERT 13+",13.9,false,"INFERNO 0",0.0,
"物凄い勢いでけーねが物凄いうた","Monosugoi Ikioi de Keine ga Monosugoi Uta","TOUHOU ARRANGE","NORMAL 4",4.0,false,"HARD 9+",9.9,false,"EXPERT 12",12.2,false,"INFERNO 0",0.0,
"患部で止まってすぐ溶ける ～ 狂気の優曇華院","Kanbu de Tomatte Sugu Tokeru - Kyouki no Udongein","TOUHOU ARRANGE","NORMAL 3",3.0,false,"HARD 9+",9.8,false,"EXPERT 13",13.2,false,"INFERNO 0",0.0,
"Scream out!","","TOUHOU ARRANGE","NORMAL 4",4.0,false,"HARD 8",8.1,false,"EXPERT 12+",12.8,false,"INFERNO 0",0.0,
"ホイホイ☆幻想ホロイズム","Hoi-hoi Gensou Holo-ism","TOUHOU ARRANGE","NORMAL 3",3.0,false,"HARD 7+",7.7,false,"EXPERT 12+",12.7,false,"INFERNO 0",0.0,
"Help me, ERINNNNNN!!","","TOUHOU ARRANGE","NORMAL 3",3.0,false,"HARD 7+",7.7,false,"EXPERT 11",11.6,false,"INFERNO 0",0.0,
"進捗どうですか？","Shinchoku Doudesu-ka?","TOUHOU ARRANGE","NORMAL 3",3.0,false,"HARD 8",8.6,false,"EXPERT 12",12.5,false,"INFERNO 0",0.0,
"Sweet Requiem","","TOUHOU ARRANGE","NORMAL 3",3.0,false,"HARD 9",9.2,false,"EXPERT 12+",12.7,false,"INFERNO 0",0.0,
"明星ロケット","Akeboshi Rocket","TOUHOU ARRANGE","NORMAL 2",2.0,false,"HARD 7",7.5,false,"EXPERT 11+",11.7,false,"INFERNO 0",0.0,
"ゆけむり魂温泉 II","Yukemuri Tama-onsen II","TOUHOU ARRANGE","NORMAL 3",3.0,false,"HARD 7",7.5,false,"EXPERT 12",12.0,false,"INFERNO 0",0.0,
"Calamity Fortune","","TOUHOU ARRANGE","NORMAL 4",4.0,false,"HARD 10",10.0,false,"EXPERT 13+",13.7,false,"INFERNO 0",0.0,
"ケロ⑨Destiny","Kero 9 Destiny","TOUHOU ARRANGE","NORMAL 2",2.0,false,"HARD 6",6.2,false,"EXPERT 11+",11.7,false,"INFERNO 0",0.0,
"風に乗せた願い","Kaze ni Noseta Negai","TOUHOU ARRANGE","NORMAL 3",3.0,false,"HARD 7",7.1,false,"EXPERT 10",10.3,false,"INFERNO 0",0.0,
"LOVE EAST","","TOUHOU ARRANGE","NORMAL 3",3.0,false,"HARD 7",7.3,false,"EXPERT 11",11.0,false,"INFERNO 0",0.0,
"天狗の落とし文 feat. ytr","Tengu no Otoshi-bumi feat. ytr","TOUHOU ARRANGE","NORMAL 3",3.0,false,"HARD 8",8.2,false,"EXPERT 12",12.1,false,"INFERNO 0",0.0,
"神寂","Shinjaku","TOUHOU ARRANGE","NORMAL 4",4.0,false,"HARD 10+",10.8,false,"EXPERT 13",13.5,false,"INFERNO 0",0.0,
"悪戯センセーション","Itazura Sensation","TOUHOU ARRANGE","NORMAL 2",2.0,false,"HARD 8",8.6,false,"EXPERT 12",12.3,false,"INFERNO 0",0.0,
"ナイト・オブ・ナイツ (かめりあ’s“ワンス・アポン・ア・ナイト”Remix)","Night/Knight of Nights/Knights (Camellia's Once-Upon-A-Night Remix)","TOUHOU ARRANGE","NORMAL 5",5.0,false,"HARD 10",10.5,false,"EXPERT 13",13.1,false,"INFERNO 0",0.0,
"Mami Mami Zone","","TOUHOU ARRANGE","NORMAL 4",4.0,false,"HARD 9",9.2,false,"EXPERT 11",11.4,false,"INFERNO 0",0.0,
"チルノのパーフェクトさんすう教室","Cirno no Perfect Sansuu Kyoshitsu","TOUHOU ARRANGE","NORMAL 3",3.0,false,"HARD 9",9.2,false,"EXPERT 11",11.5,false,"INFERNO 0",0.0,
