"0-song-title","1-normal-level","2-normal-const","3-normal-is-newer","4-hard-level","5-hard-const","6-hard-is-newer","7-expert-level","8-expert-const","9-expert-is-newer","10-inferno-level","11-inferno-const","12-inferno-is-newer"
"sister's noise","NORMAL 2",2.0,false,"HARD 6",6.0,false,"EXPERT 10",10.1,false,"INFERNO 0",0.0,
"なだめスかし Negotiation","NORMAL 3",3.0,false,"HARD 7+",7.7,false,"EXPERT 11+",11.9,false,"INFERNO 0",0.0,
"サクリファイス","NORMAL 3",3.0,false,"HARD 9",9.1,false,"EXPERT 12",12.2,false,"INFERNO 0",0.0,
"非実在系女子たちはどうすりゃいいですか？","NORMAL 3",3.0,false,"HARD 8",8.5,false,"EXPERT 12",12.6,false,"INFERNO 0",0.0,
"ぺこみこ大戦争！！","NORMAL 4",4.0,false,"HARD 8",8.4,false,"EXPERT 11",11.2,false,"INFERNO 13",13.2,false
"Say!ファンファーレ!","NORMAL 3",3.0,false,"HARD 8",8.6,false,"EXPERT 12",12.5,false,"INFERNO 0",0.0,
"NEXT COLOR PLANET","NORMAL 2",2.0,false,"HARD 7",7.5,false,"EXPERT 12",12.6,false,"INFERNO 0",0.0,
"夢見る空へ","NORMAL 2",2.0,false,"HARD 7+",7.7,false,"EXPERT 11",11.3,false,"INFERNO 0",0.0,
"お願いマッスル","NORMAL 1",1.0,false,"HARD 7+",7.7,false,"EXPERT 10+",10.7,false,"INFERNO 0",0.0,
"マッチョアネーム？","NORMAL 2",2.0,false,"HARD 6",6.6,false,"EXPERT 12+",12.7,false,"INFERNO 0",0.0,
"HELLO to DREAM","NORMAL 1",1.0,false,"HARD 6",6.5,false,"EXPERT 9+",9.7,false,"INFERNO 0",0.0,
"over and over","NORMAL 2",2.0,false,"HARD 7",7.5,false,"EXPERT 10",10.4,false,"INFERNO 0",0.0,
"トロピカッ☆バケーション","NORMAL 2",2.0,false,"HARD 7",7.5,false,"EXPERT 10+",10.7,false,"INFERNO 0",0.0,
"秒針を噛む","NORMAL 2",2.0,false,"HARD 6+",6.8,false,"EXPERT 11",11.0,false,"INFERNO 0",0.0,
"ないものねだり","NORMAL 2",2.0,false,"HARD 7+",7.7,false,"EXPERT 11",11.1,false,"INFERNO 0",0.0,
"HOT LIMIT","NORMAL 3",3.0,false,"HARD 7+",7.9,false,"EXPERT 10",10.0,false,"INFERNO 0",0.0,
"キラメキライダー☆","NORMAL 2",2.0,false,"HARD 7",7.0,false,"EXPERT 11",11.5,false,"INFERNO 0",0.0,
"ガヴリールドロップキック","NORMAL 3",3.0,false,"HARD 6+",6.9,false,"EXPERT 11",11.0,false,"INFERNO 0",0.0,
"This game","NORMAL 2",2.0,false,"HARD 7",7.6,false,"EXPERT 10+",10.7,false,"INFERNO 0",0.0,
"RAGE OF DUST","NORMAL 3",3.0,false,"HARD 8",8.4,false,"EXPERT 9",9.6,false,"INFERNO 0",0.0,
"Make it！","NORMAL 1",1.0,false,"HARD 5",5.1,false,"EXPERT 9",9.4,false,"INFERNO 0",0.0,
"Make it！ (DJ Genki Remix)","NORMAL 3",3.0,false,"HARD 7+",7.8,false,"EXPERT 11",11.6,false,"INFERNO 0",0.0,
"キラッとスタート","NORMAL 2",2.0,false,"HARD 7",7.4,false,"EXPERT 10",10.2,false,"INFERNO 0",0.0,
"キラッとスタート (USAO Remix)","NORMAL 4",4.0,false,"HARD 8",8.2,false,"EXPERT 12",12.5,false,"INFERNO 0",0.0,
"ハート♥イロ♥トリドリ〜ム","NORMAL 1",1.0,false,"HARD 6",6.0,false,"EXPERT 10",10.1,false,"INFERNO 0",0.0,
"ダダダダ天使","NORMAL 3",3.0,false,"HARD 7+",7.8,false,"EXPERT 12",12.0,false,"INFERNO 0",0.0,
"青空のラプソディ","NORMAL 2",2.0,false,"HARD 6+",6.8,false,"EXPERT 9",9.3,false,"INFERNO 11",11.0,true
"Bravely You","NORMAL 1",1.0,false,"HARD 6",6.5,false,"EXPERT 9",9.5,false,"INFERNO 0",0.0,
"ぼなぺてぃーと♡S","NORMAL 2",2.0,false,"HARD 7+",7.7,false,"EXPERT 11",11.5,false,"INFERNO 0",0.0,
"デタラメなマイナスとプラスにおけるブレンド考","NORMAL 2",2.0,false,"HARD 5+",5.7,false,"EXPERT 10",10.0,false,"INFERNO 0",0.0,
"輪廻転生","NORMAL 3",3.0,false,"HARD 9",9.2,false,"EXPERT 12",12.3,false,"INFERNO 0",0.0,
"ストライク・ザ・ブラッド","NORMAL 3",3.0,false,"HARD 8+",8.7,false,"EXPERT 11+",11.7,false,"INFERNO 0",0.0,
"新宝島","NORMAL 1",1.0,false,"HARD 6",6.3,false,"EXPERT 9",9.4,false,"INFERNO 0",0.0,
"U.S.A.","NORMAL 2",2.0,false,"HARD 7",7.1,false,"EXPERT 10",10.2,false,"INFERNO 0",0.0,
"Shiny Smily Story","NORMAL 3",3.0,false,"HARD 6",6.5,false,"EXPERT 10",10.4,false,"INFERNO 0",0.0,
"Dream☆Story","NORMAL 2",2.0,false,"HARD 7",7.5,false,"EXPERT 11",11.2,false,"INFERNO 0",0.0,
"without U","NORMAL 3",3.0,false,"HARD 7",7.2,false,"EXPERT 10",10.2,false,"INFERNO 0",0.0,
"シャルル","NORMAL 3",3.0,false,"HARD 7",7.1,false,"EXPERT 10",10.3,false,"INFERNO 0",0.0,
"ドラマツルギー","NORMAL 2",2.0,false,"HARD 7",7.4,false,"EXPERT 10",10.1,false,"INFERNO 0",0.0,
"オドループ","NORMAL 3",3.0,false,"HARD 7+",7.9,false,"EXPERT 10",10.4,false,"INFERNO 0",0.0,
"only my railgun","NORMAL 3",3.0,false,"HARD 6+",6.7,false,"EXPERT 9",9.5,false,"INFERNO 0",0.0,
"You Only Live Once","NORMAL 1",1.0,false,"HARD 5",5.4,false,"EXPERT 9",9.1,false,"INFERNO 0",0.0,
"残酷な天使のテーゼ","NORMAL 1",1.0,false,"HARD 5",5.3,false,"EXPERT 9",9.3,false,"INFERNO 0",0.0,
"ただ君に晴れ","NORMAL 3",3.0,false,"HARD 7",7.0,false,"EXPERT 9",9.6,false,"INFERNO 0",0.0,
"The Light","NORMAL 3",3.0,false,"HARD 7+",7.8,false,"EXPERT 12",12.1,false,"INFERNO 0",0.0,
"AIAIAI (feat. 中田ヤスタカ)","NORMAL 1",1.0,false,"HARD 6",6.4,false,"EXPERT 9",9.4,false,"INFERNO 0",0.0,
"Hello, Morning","NORMAL 2",2.0,false,"HARD 7",7.1,false,"EXPERT 11",11.2,false,"INFERNO 0",0.0,
"Raise Your Heart!!","NORMAL 3",3.0,false,"HARD 7",7.4,false,"EXPERT 10",10.6,false,"INFERNO 0",0.0,
"SHINY DAYS","NORMAL 1",1.0,false,"HARD 5",5.2,false,"EXPERT 9",9.0,false,"INFERNO 0",0.0,
"EXCITE","NORMAL 1",1.0,false,"HARD 6",6.5,false,"EXPERT 10",10.0,false,"INFERNO 0",0.0,
"ファティマ","NORMAL 2",2.0,false,"HARD 6+",6.8,false,"EXPERT 9",9.5,false,"INFERNO 0",0.0,
"回レ！雪月花","NORMAL 2",2.0,false,"HARD 8",8.0,false,"EXPERT 11",11.0,false,"INFERNO 13+",13.8,true
"ピースサイン","NORMAL 2",2.0,false,"HARD 6+",6.9,false,"EXPERT 9+",9.8,false,"INFERNO 0",0.0,
"徒花ネクロマンシー","NORMAL 3",3.0,false,"HARD 6+",6.9,false,"EXPERT 9+",9.7,false,"INFERNO 0",0.0,
"ようこそジャパリパークへ","NORMAL 2",2.0,false,"HARD 7",7.6,false,"EXPERT 10+",10.7,false,"INFERNO 0",0.0,
"POP TEAM EPIC","NORMAL 3",3.0,false,"HARD 7+",7.8,false,"EXPERT 11",11.4,false,"INFERNO 0",0.0,
"ファッとして桃源郷","NORMAL 3",3.0,false,"HARD 9",9.3,false,"EXPERT 12",12.0,false,"INFERNO 0",0.0,
"Nameless Story","NORMAL 3",3.0,false,"HARD 7",7.5,false,"EXPERT 10",10.3,false,"INFERNO 0",0.0,
"TOMORROW","NORMAL 3",3.0,false,"HARD 8",8.0,false,"EXPERT 10",10.4,false,"INFERNO 0",0.0,
"五等分の気持ち","NORMAL 2",2.0,false,"HARD 6",6.1,false,"EXPERT 9+",9.9,false,"INFERNO 0",0.0,
"ギミチョコ!!","NORMAL 4",4.0,false,"HARD 10",10.3,false,"EXPERT 12+",12.9,false,"INFERNO 0",0.0,
"ウマーベラス","NORMAL 1",1.0,false,"HARD 6+",6.8,false,"EXPERT 9+",9.8,false,"INFERNO 0",0.0,
"メルト","NORMAL 3",3.0,true,"HARD 8+",8.7,true,"EXPERT 12",12.6,true,"INFERNO 0",0.0,
"天樂","NORMAL 3",3.0,true,"HARD 8",8.6,true,"EXPERT 12+",12.7,true,"INFERNO 0",0.0,
"吉原ラメント","NORMAL 3",3.0,true,"HARD 8",8.3,true,"EXPERT 12",12.4,true,"INFERNO 0",0.0,
"ワールズエンド・ダンスホール","NORMAL 3",3.0,true,"HARD 8",8.6,true,"EXPERT 12",12.5,true,"INFERNO 0",0.0,
"炉心融解","NORMAL 2",2.0,true,"HARD 8",8.6,true,"EXPERT 12",12.2,true,"INFERNO 0",0.0,
"∞(2018Remake)","NORMAL 3",3.0,true,"HARD 8+",8.7,true,"EXPERT 13+",13.8,true,"INFERNO 0",0.0,
"ちがう!!!","NORMAL 4",4.0,true,"HARD 9+",9.7,true,"EXPERT 12",12.4,true,"INFERNO 0",0.0,
"おねがいダーリン","NORMAL 4",4.0,true,"HARD 9",9.3,true,"EXPERT 11",11.6,true,"INFERNO 0",0.0,
"怪盗Fの台本（シナリオ）〜消えたダイヤの謎〜","NORMAL 3",3.0,true,"HARD 9",9.1,true,"EXPERT 13+",13.7,true,"INFERNO 0",0.0,
"KING","NORMAL 2",2.0,true,"HARD 8",8.0,true,"EXPERT 11",11.6,true,"INFERNO 0",0.0,
"ダーリンダンス","NORMAL 2",2.0,true,"HARD 8+",8.7,true,"EXPERT 12+",12.8,true,"INFERNO 0",0.0,
"トリノコシティ","NORMAL 3",3.0,true,"HARD 7+",7.7,true,"EXPERT 12",12.2,true,"INFERNO 0",0.0,
"サマータイムレコード","NORMAL 3",3.0,true,"HARD 7+",7.8,true,"EXPERT 11+",11.9,true,"INFERNO 0",0.0,
"テレキャスタービーボーイ","NORMAL 3",3.0,false,"HARD 8+",8.9,false,"EXPERT 11+",11.9,false,"INFERNO 0",0.0,
"フィクサー","NORMAL 3",3.0,false,"HARD 7",7.3,false,"EXPERT 12+",12.9,false,"INFERNO 0",0.0,
"バレリーコ","NORMAL 3",3.0,false,"HARD 8",8.2,false,"EXPERT 11",11.6,false,"INFERNO 0",0.0,
"だれかの心臓になれたなら","NORMAL 3",3.0,false,"HARD 7+",7.8,false,"EXPERT 12",12.1,false,"INFERNO 0",0.0,
"六兆年と一夜物語","NORMAL 4",4.0,false,"HARD 8+",8.9,false,"EXPERT 12",12.5,false,"INFERNO 0",0.0,
"ワールドイズマイン","NORMAL 3",3.0,false,"HARD 8",8.3,false,"EXPERT 11",11.6,false,"INFERNO 0",0.0,
"進捗どうですか！","NORMAL 3",3.0,false,"HARD 7",7.3,false,"EXPERT 12+",12.8,false,"INFERNO 0",0.0,
"ぼくらの16bit戦争","NORMAL 4",4.0,false,"HARD 9",9.1,false,"EXPERT 13",13.4,false,"INFERNO 0",0.0,
"隔絶≡タナトス","NORMAL 4",4.0,false,"HARD 8",8.5,false,"EXPERT 13",13.5,false,"INFERNO 0",0.0,
"アスノヨゾラ哨戒班","NORMAL 3",3.0,false,"HARD 7",7.6,false,"EXPERT 11+",11.9,false,"INFERNO 0",0.0,
"ヒビカセ","NORMAL 3",3.0,false,"HARD 8",8.4,false,"EXPERT 12",12.3,false,"INFERNO 0",0.0,
"脳漿炸裂ガール","NORMAL 5",5.0,false,"HARD 9",9.5,false,"EXPERT 13",13.5,false,"INFERNO 0",0.0,
"ポジティブ☆ダンスタイム","NORMAL 3",3.0,false,"HARD 8+",8.9,false,"EXPERT 11",11.6,false,"INFERNO 0",0.0,
"Gimme×Gimme feat. 初音ミク・鏡音リン","NORMAL 2",2.0,false,"HARD 8",8.1,false,"EXPERT 12",12.0,false,"INFERNO 0",0.0,
"39みゅーじっく！","NORMAL 2",2.0,false,"HARD 7",7.4,false,"EXPERT 10+",10.9,false,"INFERNO 0",0.0,
"ブリキノダンス","NORMAL 3",3.0,false,"HARD 7+",7.9,false,"EXPERT 12",12.3,false,"INFERNO 0",0.0,
"チュルリラ・チュルリラ・ダッダッダ！","NORMAL 4",4.0,false,"HARD 8",8.3,false,"EXPERT 12",12.4,false,"INFERNO 0",0.0,
"おばけのウケねらい","NORMAL 3",3.0,false,"HARD 8",8.0,false,"EXPERT 11+",11.7,false,"INFERNO 0",0.0,
"ベノム","NORMAL 3",3.0,false,"HARD 7",7.5,false,"EXPERT 12",12.1,false,"INFERNO 0",0.0,
"リアル初音ミクの消失","NORMAL 6",6.0,false,"HARD 10",10.2,false,"EXPERT 13+",13.7,false,"INFERNO 0",0.0,
"セツナトリップ","NORMAL 3",3.0,false,"HARD 9",9.0,false,"EXPERT 12",12.1,false,"INFERNO 0",0.0,
"カゲロウデイズ","NORMAL 4",4.0,false,"HARD 9",9.5,false,"EXPERT 11",11.3,false,"INFERNO 0",0.0,
"天ノ弱","NORMAL 3",3.0,false,"HARD 7",7.3,false,"EXPERT 10",10.1,false,"INFERNO 0",0.0,
"ゴーストルール","NORMAL 3",3.0,false,"HARD 9",9.0,false,"EXPERT 11",11.6,false,"INFERNO 0",0.0,
"ロストワンの号哭","NORMAL 4",4.0,false,"HARD 8",8.3,false,"EXPERT 12",12.2,false,"INFERNO 0",0.0,
"いーあるふぁんくらぶ","NORMAL 2",2.0,false,"HARD 6",6.5,false,"EXPERT 10",10.0,false,"INFERNO 0",0.0,
"初音ミクの消失","NORMAL 5",5.0,false,"HARD 10",10.6,false,"EXPERT 13+",13.8,false,"INFERNO 0",0.0,
"劣等上等","NORMAL 3",3.0,false,"HARD 8",8.0,false,"EXPERT 11+",11.9,false,"INFERNO 0",0.0,
"アカリがやってきたぞっ","NORMAL 3",3.0,false,"HARD 8",8.5,false,"EXPERT 11",11.2,false,"INFERNO 0",0.0,
"太陽系デスコ","NORMAL 2",2.0,false,"HARD 7",7.4,false,"EXPERT 10+",10.7,false,"INFERNO 0",0.0,
"気まぐれメルシィ feat. 初音ミク","NORMAL 3",3.0,false,"HARD 7",7.4,false,"EXPERT 10",10.5,false,"INFERNO 0",0.0,
"幸せになれる隠しコマンドがあるらしい","NORMAL 5",5.0,false,"HARD 10",10.5,false,"EXPERT 13",13.3,false,"INFERNO 0",0.0,
"千本桜","NORMAL 2",2.0,false,"HARD 7+",7.9,false,"EXPERT 10",10.4,false,"INFERNO 0",0.0,
"エイリアンエイリアン","NORMAL 2",2.0,false,"HARD 6+",6.7,false,"EXPERT 10",10.5,false,"INFERNO 0",0.0,
"砂の惑星 feat. 初音ミク","NORMAL 3",3.0,false,"HARD 8+",8.7,false,"EXPERT 10",10.5,false,"INFERNO 0",0.0,
"マトリョシカ","NORMAL 3",3.0,false,"HARD 8",8.2,false,"EXPERT 10",10.4,false,"INFERNO 0",0.0,
"Seyana. ～何でも言うことを聞いてくれるアカネチャン～","NORMAL 2",2.0,false,"HARD 9",9.3,false,"EXPERT 11+",11.7,false,"INFERNO 0",0.0,
"フラジール","NORMAL 1",1.0,false,"HARD 7",7.0,false,"EXPERT 10",10.3,false,"INFERNO 0",0.0,
"ロキ","NORMAL 4",4.0,false,"HARD 9",9.4,false,"EXPERT 11",11.6,false,"INFERNO 0",0.0,
"ウミユリ海底譚","NORMAL 1",1.0,false,"HARD 7",7.1,false,"EXPERT 10",10.2,false,"INFERNO 0",0.0,
"スクランブル交際","NORMAL 3",3.0,false,"HARD 8",8.4,false,"EXPERT 11",11.0,false,"INFERNO 0",0.0,
"乙女解剖","NORMAL 3",3.0,false,"HARD 7",7.3,false,"EXPERT 9",9.2,false,"INFERNO 0",0.0,
"Crime Wave","NORMAL 3",3.0,true,"HARD 8",8.1,true,"EXPERT 12+",12.7,true,"INFERNO 0",0.0,
"チルノは覚醒サマーデイズ！","NORMAL 3",3.0,false,"HARD 8",8.6,false,"EXPERT 12",12.3,false,"INFERNO 0",0.0,
"エピクロスの虹はもう見えない","NORMAL 3",3.0,false,"HARD 8",8.4,false,"EXPERT 11",11.3,false,"INFERNO 0",0.0,
"ARROW RAIN feat.ayame","NORMAL 5",5.0,false,"HARD 9",9.2,false,"EXPERT 12",12.6,false,"INFERNO 0",0.0,
"四次元跳躍機関","NORMAL 2",2.0,false,"HARD 9",9.1,false,"EXPERT 12+",12.7,false,"INFERNO 0",0.0,
"Destructive Little Sister","NORMAL 5",5.0,false,"HARD 10+",10.9,false,"EXPERT 13+",13.9,false,"INFERNO 0",0.0,
"物凄い勢いでけーねが物凄いうた","NORMAL 4",4.0,false,"HARD 9+",9.9,false,"EXPERT 12",12.2,false,"INFERNO 0",0.0,
"患部で止まってすぐ溶ける ～ 狂気の優曇華院","NORMAL 3",3.0,false,"HARD 9+",9.8,false,"EXPERT 13",13.2,false,"INFERNO 0",0.0,
"Scream out!","NORMAL 4",4.0,false,"HARD 8",8.1,false,"EXPERT 12+",12.8,false,"INFERNO 0",0.0,
"ホイホイ☆幻想ホロイズム","NORMAL 3",3.0,false,"HARD 7+",7.7,false,"EXPERT 12+",12.7,false,"INFERNO 0",0.0,
"Help me, ERINNNNNN!!","NORMAL 3",3.0,false,"HARD 7+",7.7,false,"EXPERT 11",11.6,false,"INFERNO 0",0.0,
"進捗どうですか？","NORMAL 3",3.0,false,"HARD 8",8.6,false,"EXPERT 12",12.5,false,"INFERNO 0",0.0,
"Sweet Requiem","NORMAL 3",3.0,false,"HARD 9",9.2,false,"EXPERT 12+",12.7,false,"INFERNO 0",0.0,
"明星ロケット","NORMAL 2",2.0,false,"HARD 7",7.5,false,"EXPERT 11+",11.7,false,"INFERNO 0",0.0,
"ゆけむり魂温泉 II","NORMAL 3",3.0,false,"HARD 7",7.5,false,"EXPERT 12",12.0,false,"INFERNO 0",0.0,
"Calamity Fortune","NORMAL 4",4.0,false,"HARD 10",10.0,false,"EXPERT 13+",13.7,false,"INFERNO 0",0.0,
"ケロ⑨Destiny","NORMAL 2",2.0,false,"HARD 6",6.2,false,"EXPERT 11+",11.7,false,"INFERNO 0",0.0,
"風に乗せた願い","NORMAL 3",3.0,false,"HARD 7",7.1,false,"EXPERT 10",10.3,false,"INFERNO 0",0.0,
"LOVE EAST","NORMAL 3",3.0,false,"HARD 7",7.3,false,"EXPERT 11",11.0,false,"INFERNO 0",0.0,
"天狗の落とし文 feat. ytr","NORMAL 3",3.0,false,"HARD 8",8.2,false,"EXPERT 12",12.1,false,"INFERNO 0",0.0,
"神寂","NORMAL 4",4.0,false,"HARD 10+",10.8,false,"EXPERT 13",13.5,false,"INFERNO 0",0.0,
"悪戯センセーション","NORMAL 2",2.0,false,"HARD 8",8.6,false,"EXPERT 12",12.3,false,"INFERNO 0",0.0,
"ナイト・オブ・ナイツ (かめりあ’s“ワンス・アポン・ア・ナイト”Remix)","NORMAL 5",5.0,false,"HARD 10",10.5,false,"EXPERT 13",13.1,false,"INFERNO 0",0.0,
"Mami Mami Zone","NORMAL 4",4.0,false,"HARD 9",9.2,false,"EXPERT 11",11.4,false,"INFERNO 0",0.0,
"チルノのパーフェクトさんすう教室","NORMAL 3",3.0,false,"HARD 9",9.2,false,"EXPERT 11",11.5,false,"INFERNO 0",0.0,
"待チ人ハ来ズ。","NORMAL 2",2.0,false,"HARD 6",6.4,false,"EXPERT 10",10.5,false,"INFERNO 0",0.0,
"taboo tears you up 2017","NORMAL 4",4.0,false,"HARD 9+",9.8,false,"EXPERT 12",12.4,false,"INFERNO 0",0.0,
"Bad Apple!! feat. nomico","NORMAL 1",1.0,false,"HARD 5",5.5,false,"EXPERT 9",9.3,false,"INFERNO 0",0.0,
"ナイト・オブ・ナイツ","NORMAL 3",3.0,false,"HARD 9",9.0,false,"EXPERT 12",12.0,false,"INFERNO 0",0.0,
"WARNING×WARNING×WARNING","NORMAL 3",3.0,false,"HARD 7+",7.7,false,"EXPERT 11",11.5,false,"INFERNO 0",0.0,
"シャカリキ・ファイト・ブンブン","NORMAL 3",3.0,false,"HARD 6+",6.7,false,"EXPERT 11+",11.7,false,"INFERNO 0",0.0,
"ニュー・ウェーブ","NORMAL 2",2.0,false,"HARD 6",6.1,false,"EXPERT 9",9.3,false,"INFERNO 0",0.0,
"ガンガン・ドンドン","NORMAL 2",2.0,false,"HARD 6",6.0,false,"EXPERT 9+",9.7,false,"INFERNO 0",0.0,
"スマイル・アンド・ティアズ","NORMAL 2",2.0,false,"HARD 6",6.1,false,"EXPERT 9",9.5,false,"INFERNO 0",0.0,
"STILL HOT IN MY HEART","NORMAL 3",3.0,false,"HARD 7",7.3,false,"EXPERT 10",10.3,false,"INFERNO 0",0.0,
"Over the sweat and tears","NORMAL 1",1.0,false,"HARD 5",5.6,false,"EXPERT 9",9.4,false,"INFERNO 0",0.0,
"ファムファタール","NORMAL 3",3.0,true,"HARD 8",8.0,true,"EXPERT 11",11.1,true,"INFERNO 0",0.0,
"アゲナゲン","NORMAL 4",4.0,true,"HARD 10",10.5,true,"EXPERT 13",13.5,true,"INFERNO 0",0.0,
"花たちに希望を","NORMAL 3",3.0,true,"HARD 9+",9.8,true,"EXPERT 12",12.4,true,"INFERNO 0",0.0,
"NightTheater","NORMAL 3",3.0,true,"HARD 10",10.0,true,"EXPERT 13",13.0,true,"INFERNO 0",0.0,
"恋のMoonlight","NORMAL 2",2.0,true,"HARD 8",8.0,true,"EXPERT 11+",11.8,true,"INFERNO 0",0.0,
"Comet Coaster","NORMAL 5",5.0,true,"HARD 9+",9.9,true,"EXPERT 13",13.3,true,"INFERNO 0",0.0,
"XODUS","NORMAL 5",5.0,true,"HARD 11",11.0,true,"EXPERT 14",14.0,true,"INFERNO 0",0.0,
"Lights of Muse","NORMAL 3",3.0,true,"HARD 9+",9.9,true,"EXPERT 12",12.0,true,"INFERNO 0",0.0,
"The 90's Decision","NORMAL 4",4.0,true,"HARD 9",9.5,true,"EXPERT 13",13.5,true,"INFERNO 0",0.0,
"粉骨砕身カジノゥ","NORMAL 3",3.0,true,"HARD 8",8.1,true,"EXPERT 13",13.6,true,"INFERNO 0",0.0,
"Avant Raze","NORMAL 3",3.0,true,"HARD 8",8.0,true,"EXPERT 12",12.6,true,"INFERNO 0",0.0,
"#1f1e33","NORMAL 3",3.0,true,"HARD 10+",10.9,true,"EXPERT 13+",13.9,true,"INFERNO 0",0.0,
"Arcahv","NORMAL 3",3.0,true,"HARD 10",10.5,true,"EXPERT 13",13.6,true,"INFERNO 0",0.0,
"最強STRONGER","NORMAL 5",5.0,true,"HARD 10",10.6,true,"EXPERT 14",14.0,true,"INFERNO 0",0.0,
"Let you DIVE! (nitro rmx)","NORMAL 4",4.0,true,"HARD 8+",8.7,true,"EXPERT 12+",12.8,true,"INFERNO 0",0.0,
"Sheriruth (Laur Remix)","NORMAL 4",4.0,true,"HARD 10",10.3,true,"EXPERT 13",13.3,true,"INFERNO 0",0.0,
"さんさーら！","NORMAL 2",2.0,false,"HARD 7+",7.9,false,"EXPERT 12",12.4,false,"INFERNO 0",0.0,
"Night Club Junkie","NORMAL 2",2.0,false,"HARD 6+",6.8,false,"EXPERT 12",12.5,false,"INFERNO 0",0.0,
"PUPA","NORMAL 4",4.0,false,"HARD 8",8.6,false,"EXPERT 13+",13.7,false,"INFERNO 0",0.0,
"Destr0yer","NORMAL 5",5.0,false,"HARD 8+",8.7,false,"EXPERT 13",13.0,false,"INFERNO 0",0.0,
"もぺもぺ","NORMAL 4",4.0,false,"HARD 8",8.2,false,"EXPERT 12+",12.7,false,"INFERNO 0",0.0,
"MAGENTA POTION","NORMAL 4",4.0,false,"HARD 8",8.1,false,"EXPERT 12",12.6,false,"INFERNO 0",0.0,
"進捗WARS feat．ビートまりお","NORMAL 3",3.0,false,"HARD 7",7.0,false,"EXPERT 11",11.5,false,"INFERNO 0",0.0,
"Apocalypse","NORMAL 2",2.0,false,"HARD 7",7.6,false,"EXPERT 12",12.4,false,"INFERNO 0",0.0,
"You are the Miserable","NORMAL 3",3.0,false,"HARD 10",10.0,false,"EXPERT 13+",13.9,false,"INFERNO 0",0.0,
"Stasis","NORMAL 3",3.0,false,"HARD 10",10.2,false,"EXPERT 13",13.6,false,"INFERNO 0",0.0,
"Rainmaker","NORMAL 4",4.0,false,"HARD 9+",9.9,false,"EXPERT 13",13.5,false,"INFERNO 0",0.0,
"Weg","NORMAL 3",3.0,false,"HARD 8",8.6,false,"EXPERT 12",12.3,false,"INFERNO 0",0.0,
"From Zero feat. 利香","NORMAL 3",3.0,false,"HARD 7+",7.7,false,"EXPERT 11+",11.8,false,"INFERNO 0",0.0,
"PRESS START!","NORMAL 4",4.0,false,"HARD 8+",8.7,false,"EXPERT 12+",12.7,false,"INFERNO 0",0.0,
"TWISTSTEP","NORMAL 3",3.0,false,"HARD 8+",8.8,false,"EXPERT 12+",12.7,false,"INFERNO 0",0.0,
"Future Cαndy","NORMAL 3",3.0,false,"HARD 9",9.1,false,"EXPERT 12+",12.7,false,"INFERNO 0",0.0,
"Fish Fight!","NORMAL 4",4.0,false,"HARD 9",9.0,false,"EXPERT 11",11.6,false,"INFERNO 0",0.0,
"THERAPY","NORMAL 4",4.0,false,"HARD 9",9.1,false,"EXPERT 12+",12.7,false,"INFERNO 0",0.0,
